month,trades,net_profit,avg_profit,win_rate
1,23,-560.88,-24.38608695652174,0.391304347826087
2,23,-4619.18,-200.83391304347828,0.1739130434782608
3,12,-2263.9300000000003,-188.66083333333336,0.25
4,4,419.29,104.8225,0.5
5,12,318.86,26.571666666666665,0.4166666666666667
6,15,-283.0499999999999,-18.869999999999997,0.3333333333333333
7,2,-471.42,-235.71,0.0
8,3,662.6199999999999,220.8733333333333,0.6666666666666666
9,13,-598.1499999999999,-46.01153846153845,0.3076923076923077
10,2,215.17,107.585,0.5
11,12,-1503.58,-125.29833333333332,0.1666666666666666
12,5,663.47,132.69400000000002,0.4
