metric
Net profit: -8020.78 CHF
Profit factor: 0.717
Max drawdown: 7519.95 CHF (7.56%)
Average trade: -63.66 CHF
Win rate: 30.95%
Largest win: 1225.80 CHF
Largest loss: -645.46 CHF
Longest win streak: 3
Longest loss streak: 7
Avg winner/avg loser ratio: 1.60
"R-multiple stats: mean -0.131, std 0.887, 25% -0.510, 50% -0.497, 75% 0.932, max 2.546"
