hour,trades,net_profit,avg_profit,win_rate
9,25,54.350000000000136,2.1740000000000053,0.36
10,26,-2844.82,-109.41615384615385,0.2692307692307692
11,31,-2528.31,-81.5583870967742,0.3225806451612903
12,21,285.68000000000006,13.603809523809527,0.4285714285714285
13,7,-1648.98,-235.56857142857143,0.0
14,16,-1338.7,-83.66875,0.25
