exit_type,count,mean,std,min,25%,50%,75%,max
OTHER,1.0,-0.8307626827481978,,-0.8307626827481978,-0.8307626827481978,-0.8307626827481978,-0.8307626827481978,-0.8307626827481978
SL,88.0,-0.6489058576304667,0.3411678205864987,-1.324663416131809,-1.018445624323967,-0.5017776448097768,-0.4963997588134303,0.6128968643637266
TP,37.0,1.120681178468808,0.4122821581615347,0.7202659362603154,0.940164149143403,0.9523747571421975,0.9633683550325556,2.5455945514557734
